uid;company;position
65479011;ООО КЗ ПОиСК;Менеджер
301713314;ООО РОСИ;сборщик конструкций из ПВХ
66201988;Нэшинал;промоутер
64803561;НИИ;Техник-сан
201805248;Пиво цех;Начальник цеха
360590106;Льнокомбинат;Помощник мастера
169199338;СШИ № 28;Учитель русского языка и литературы
96517312;Юнистар;водитель
163102795;Platinum bank;кредитор
143774811;ОАО Белгазпромбанк;Кассир-контролер
324894137;Международная компания;Менеджер по работе с клиентами
71547557;ШМТ;Главный специалист
131649125;БЕЛЫЙ ДОМ;высокооплачиваемая
101116322;главный тренер коьанды реал модрит;главный тренер
35955848;ОАО(ПСК);мастер
183709820;гор больница№7 род дом;Акушерка
206685229;магазин;Продавец-консультант
371136572;В Компании;менеджер
157958542;свой бизнес;Управляющий компанией
79975822;РВК_1250;судовой электрик
135514945;школа;ученица
87739065;МГЮА;безопасность
162194959;школа*;ученица*
66682873;СШ №2;учитель - дефектолог
89015868;ПРОДМАРКЕТ №1;СТ ПОВАР
175729562;Validio Ukraine;Tester
184734709;Елита бурджи;Менеджер
310947215;на пенсии;мама   бабушка жена
69501658;LWS and Partners;Partner
68460580;ОАО Куйбышев Азот;директор
61452360;Homoffice;Finanz- und Versicherungsmakler
51164897;Администрация президента РФ;Личный советник президента
210820352;ООО БАНК ХОУМ КРЕДИТ;кредитный специалист
65089516;Євро- модуль;інженер
66190230;REON;Глава холдинга
40085063;ОАО СК Универсальная;Ведущий специалист по страхованию
73691063;Челябинский АвтоРынок;администрация
52801430;Богда-Нико;Таксист
143237422;МОУ ДОД ДШИ №1;Преподаватель хореографических дисциплин
69020069;МОУ СОШ д. Мулдакаево;Военрук
124074190;ЗОЗ.;рабочий
239758890;ООО УПЗ;сборшица
61027620;верховна рада хд);тугодум хд)
343496445;ООО Монтаж Оборудование Плюс;Управляющий домом
133192813;КГБУЗ Кожно-венерологический диспансер, г. Бийск;Секретарь
33511232;РФ;Разно рабочий
5711842;юридическое бюро консультант  7;ген.директор
51111330;МДОУ д/с № 26;воспитатель
154602765;Работаю у компьютера по два,три часа);Лентяйка)
169480773;ЗФО Ситибанк;Специалист по продажам банковской продукции и услуг
125229878;ФРФ;гл. механик
118252110;Территориальное Отделение Департамента Казначейства МФРТ;специалист I разряда
41769188;фирма;преподаватель
63543291;nokia;менеджер
73936332;гостиница;Администратор
77435336;пс Куанда;ДЭМ
95019220;федерация футбола;инструктор
193258244;автомаляр;управляющий
155124406;не определилась;нету
161112580;школа №16;ученик
102291549;Менеджер;Менеджер по продажам
63448045;РОО;Зам. главного бухгалтера
250771249;компания Форсаж;Управляющий директор
142619037;Карталинскиё Детский дом;Воспитатель
214018515;ТОВ «ОВБ Алфінанц Україна»;FT-2
326090198;ГКП на ПХВ Сарканская ЦРБ СБ с Лепсы;Фельдшер скорой помощи
157066495;Центр ГИМС МЧС России по ЧР;руководитель Сурского инспекторского участка-старший государственный инспектор по маломерным судам
42817315;улици;гаффист фирма ..:::NFS:::.
92957868;тхекводо;тхеквондист
156994819;говно;помоешник директора
62971017;eProcurement Kabupaen Bogor;Administrator Server
3171740;Морозовская Детская Городская Клиническая Больница;врач, детский хирург
58747358;администрация;председатель КП
174580898;...;----
103248613;ОДО Промэко;Инженер-эколог
69035226;м. академическая;секрет
19063441;ООО Пластал;Менеджер по продажам
216891031;Отдел №29 Управления Федерального казначейства по НСО;Главный казначей
101628196;ЮКОС;финансовый директор
152368873;МУЗГССМП;Фельдшер выездной бригады
4942153;ТГПУ им.Л.Н.Толстого, факультет искусств, социальных и гуманитарных наук;старший преподаватель
118470994;ОМЗ Спецсталь;крановая-машинистка
156848848;школа;язь
44987209;КМ;Мясообвальщик
139336398;сбербанк;гениральный деректор
151855321;Т.Г.Ю.И.;Dispatcher
289436419;appliance egypt;Accountant
73777430;ЯООООО ВДПО;Важный человек
220106224;СТРОЙНОРДХОЛДИНГ;ОПЕРАТОР МАНИПУЛЯТОРА
138906971;авиакон;механик
70610207;ОАО Мобильные ТелеСистемы;Специалист ОИО
1263782;Пенсионный фонд;автоматизатор
254219080;Funda??o de Sa?de Parreira Horta - FSPH;Administradora
165680131;служба;Водитель
13859796;Giardino;SysAdmin
3114156;ИП Бабич А.Ю. Мебельное производство;Руководитель
99462454;театр романа Виктюка;актёр
135746812;Школа№ 23;Ученица)))
160301866;Клуб Гараж;Бармен
112447343;Алигарх;Кошелёк призедента
68766895;БСМП;Мед брат -гипсотехник
209885322;везде;маньяк
96122498;Преображенская.;Сварщик,монтажник и установщик кондецанеров,автомеханик
209918264;ТОООтаным Елим Астана ;ул Омарова 100
124913681;нету;нету
112824367;Северное железнодорожное агенство;билетный кассир
57289103;Охрана;Охранник
117119305;ИП Байер И.Ю.;Продавец-консультант
73464741;jhy;fgjjf
133165881;ОАО Волгогаз;Старший геодезист - руководитель группы
143031320;*Новогор-Прикамье*;Менеджер
199219827;школа;учится
116601539;Аптека N15;заведующий аптекой
33317889;ГБУ МФЦ города Москвы;ведущий специалист
260479862;РУСГЛОБАЛ Аренда, Продажи квартир Иркутск;Специалист по недвижимости
71167408;Школа;Викладач
62755820;ГКпВС РФ;зам директор по внешним отношениям компании
288911392;Студия звукозаписи «Шанс»;Звукорежиссер, аранжировщик
55459758;ОСП;стоматолог-терапевт
110862199;Духи-Франция Mon Etoile 35мл-1500,50мл-2300;Директор салона Магия красоты
158723173;ПОКА НЕ РАБОТАЮ;ХОЧУ БЫТЬ ПСИХОЛОГОМ ИЛИ ВОСПИТАТЕЛЕМ
262803700;сервис центр;Мастер
183276269;????;??? ????? ?????
66912829;ОАО КПИИ ВНИПИЭТ;инженер
132776624;магазин;продавец чп
201522603;аеро клуб;техник по обслуживанию самолетов
40452533;Полтавгаз;Начальник по учету Ленинского района
731892;ЗАО Ай-Теко;Help Desk
93271660;РОСТОВ НА ДОНУ;ИЗВОЗ)
114688454;СДС Фаворит;Пекарь
41836723;Служба;Стрелок
184917359;Балаковский порт;электромантер
78349422;КНУ им Т.Шевченка;аспирант
31311531;4 ЦЕХ-ТПЦ Бывший НЗНТ а ныне-Centravis Production Ukraine;Слесарь-ремонтник 6го розряда
168447204;ИП;Автослесарь
3437193;ЗАО РКСС;сметчик
66606580;ОАО  Хороший свидетель - мертвый свидетель;Специалист по уничтожению трупов :D
109024951;Роспотребнадзор;зам.начальника отдела
103091372;школа №2;учиник
42151686;ОАО ВВППК;Кассир билетный
201626037;РОСРЕЕСТР;Заместитель начальника отдела
103249380;пока не работаю;пока не выбрала
249408322;школа;ученица
165731276;ип первушина;продавец молока
234861055;Черновицкий ГИОВ;Медицинская сестра
183299032;Кемпендяйская СОШ;Учитель физической культуры
246709313;сфера озеленения;Бригадир
1675207;Экрос;специалист по оборудованию
255673787;Объединение Варкетили;Главный технолог
112093080;ЗАО Бетон;Мастер цеха
9067902;Системы безопасности;менеджер
86077404;УФПС;оператор
84261325;ООО СтальСиб;крутой
196297646;банк;Руководитель филиала
84759908;ОАО НК РОСНЕФТЬСМОЛЕНСКНЕФТЕПРОДУКТ;БУХГАЛТЕР
3627090;Международная радиоэкологическая лаборатория;зав отделом, снс
2750962;фриланс;дизайнер
26230410;ОАОЗавод Сланцы;Мастер
15247952;Філія ПАТ Волиньгаз  Ківерцівське УГГ  Рожищенська дільниця;Майстер служби підземних газопроводів і споруд на них
2767264;ВГТРК Радио России;Режиссер радиовещания
40096784;ООО ВСК (Волжская Строительная Компания);Оператор установки лазерной резки металла с ЧПУ
5927818;Администрация;бухгалтер
84737487;ребовский зал (дюсш);баскетболист!
193040103;Администрация с.Эрги-Барлык;Главный бухгалтер
9000728;ТНШС;подземный электромонтажник
96965205;г Тетюши;оператор фото лаборатории
151053070;ГУСП Алексеевский;овощевод
22364061;по союзу;электромонтажник
103785725;Госдума;Призедент
96942984;dfgddfg;dfgd
85350757;ПГТТК;мастер п/о
30300814;НГМА;сварщик
74747297;ООО Финансовая группа Эдвайс;старший специалист
364765672;Самостоятильная;Скульптор
91818281;сахарный завод;грузчик
86134589;режиссер;Director
162713321;фитнес;Инструктор по фитнесу
71755486;ооо. русь;Водитель
139548014;водитель;начальник охраны
197676846;свой бизнес;директор
59914754;МЧС пожарная охрана;Мл. инспектор ОПП
71220447;ГЦКЗ РОССИЯ;Редактор
162140328;на пенсии;Врач-АНЕСТЕЗИОЛОГ
130109437;шк. 92;ученик
5036185;авто-сервис СТАРТ;мастер по развалу
152763063;ОАО Волтаир-пром;Вулканизатор
207556024;Симфоническая Капелла;Артист хора
45471804;НАБТ  оперы и балета РБ;Артистка балета
40184398;Краснодарский край;Джамшут
32094608;Японский ресторан;официант,повар
107295854;в туалете;пиздюк
90524159;ЗАО УМК;Шеф
135165599;БГСХА;Заведующая учебной лаборатории на кафедре химии
50688752;Нету;Нету
68033789;учусь в школе;Ученица
61515031;safasdf;asdfasdf
94676065;ФБУЗ Центр гигиены и Эпидемиологии в забайкальском крае;Помошник врача по общей  гигиене отделения  гигиены труда, неионизирующих илучений и других физических факторов
86233277;ыыыыыыыыыыыыыыы;ыыыыыыыыыыыыыыы
4261522;школа;Учитель нач. классов
40050722;МОБУ СОШ № 4;учитель
68358147;Модельное огенство.;Модель
99108462;Орбит;Торговый представитель
237878021;Студия эстрадного вокала;Преподаватель
96236932;МАДОУ Светлячок;Учитель-логопед
85333719;птицефабрика;инженер кип и а
161049973;директор;гпп
144412412;Предприниматель;Директор своей жизни
358560080;"C &amp; M Duty Free, Inc";Manager
64263843;VErbilovo;PrezeDenT
106614231;за правду на земле;следящий за равновесием добра и зла!!!
192316679;нету;нету
66468575;еманжелинскхлеб;водитель
270603532;РАБОТАЮ;Водитель
154313920;ресторан;повар
281828740;ОАО АВТОВАЗ;Ведущий инженер
30393714;склад;Грузчик-экспедитор
37691417;завод полиэтиленовыхтруб;Машинист
120605631;коноха;ниндзя
113921081;о;о
12345318;Укртелеком;инженер 2 категории
139052470;Арена Сити;Диктор
13569170;ВЕДУЩИЙ, ДИДЖЕЙ И ПЕВЕЦ ВАШЕГО ПРАЗДНИКА г. ЕКАТЕРИНБУРГ;Вокалист, Диджей, Ведущий
77079565;банк;банкір
4107409;МП СПБ;главный по общим вопросам
108628390;авто люкс;шиномонтажник
60776632;ООО СтройАвангард;достойная
67939632;Банк;Менеджер
247839535;YouTube;*****
137122543;Рудник Апрелково;Мастер Энергоучастка
143839387;МБОУ Чазевская ООШ;Главный бухгалтер
69517490;В процессе;В процессе
24468126;РИАМЗ;Научный сотрудник
57622720;agroma trading;juhatuse liige
56563620;J?rmalas slimn?ca;Glavnaja medsestra
60637542;cafe cartel;cook
133446989;аптека;фармацевт
90809748;Государственная служба;Служащий
167889714;Исследовательский центр проблем энергетики Федерального государственного бюджетного учреждения науки Казанского научного центра Российской академии наук;Главный бухгалтер
228195902;Южр шахта 45;Горный инженер
88567375;ООО Очки Для Вас;Кладовщик
101654679;ДОУ д/с 854;воспитатель
96436748;Телефонист));Кабельщик:)
8701915;Центр цементирования скважин;вед. экономист Финансово-экономического отдела
53062608;Находкинская таможня;Гл. гос.там. инспектор
1911177;ЗАО СЗИК;Ведущий инженер
226333429;ГУ Отдел образование г. Семей ВКО;гл. специалист сектора школьного образования
108897772;шахта Краснокутская;гроз
115264071;ООО Алита;Водитель
32953419;Дума Ставропольского края;Помощник депутата
185562760;ОООСКПетроАльянс;Торговый представитель
68640303;Тепло-Огаревская ЦРБ;Водитель скорой помощи
104211346;Д/С №141;Воспитатель
198875846;Westgate Tours;Teacher
79552760;в/ч 10524;телефонист
36758606;И.П )));Директор фирмы
6793055;ТИПОГРАФИЯ SkyDeck;Designer
24950450;Agente di Assicurazione;Sub Agente Assicurativo
247382645;EHSAA;Employer
181021810;ПАТ Укрнафта 09/034;Оператор 2-го розряду
104029388;МБДОУ №9 Рябинушка;Воспитатель по обучению детей татарскому языку
18706732;МУК Дом-музей генерала армии Н.Ф.Ватутина;Научный сотрудник
55193526;МПЛ№2;мастер п/о
260863947;Администрация Фрунзенского района города Владимира;Юрист
71059836;Вагонное депо Московка;Бригадир
213655427;КПЖЭО №8;Слесарь
77857229;Замок;Король
177431704;ПАО ДТЭК Крымэнерго Джанкойский РЭС;Техник ПТГ
272984516;АОЗЕНИТ;Сварщик
304395727;ОАО АНПЗ ВНК;Водитель
305171331;Уличненська сільська рада;головний бухгалтер
28847195;Прокуратура;Прокурор
74262714;Балезинская ЦРБ;инструктор лфк
10671801;юридическая консультация;адвокат
